LocationID,Borough,Zone,service_zone,lat,lon
1,EWR,Newark Airport,EWR,40.6925,-74.16861
2,Queens,Jamaica Bay,Boro Zone,40.6039936,-73.8354124
3,Bronx,Allerton,Boro Zone,40.8593,-73.8565
4,Manhattan,Alphabet City,Yellow Zone,40.7223431,-73.987353
5,Staten Island,Arden Heights,Boro Zone,40.5636999,-74.1916032
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.6089933,-74.0626409
7,Queens,Astoria,Boro Zone,40.7720145,-73.9302673
8,Queens,Astoria Park,Boro Zone,40.7788277,-73.922658
9,Queens,Auburndale,Boro Zone,40.7614516,-73.7897239
10,Queens,Baisley Park,Boro Zone,40.6759206,-73.7849649
11,Brooklyn,Bath Beach,Boro Zone,40.5964509,-73.9946593
12,Manhattan,Battery Park,Yellow Zone,40.702786,-74.0157731
13,Manhattan,Battery Park City,Yellow Zone,40.7127395,-74.005939
14,Brooklyn,Bay Ridge,Boro Zone,40.6320062,-74.0232101
15,Queens,Fort Totten,Boro Zone,40.796351,-73.779252
16,Queens,Bayside,Boro Zone,40.7631203,-73.7707449
17,Brooklyn,Bedford,Boro Zone,40.7187387,-73.9569017
18,Bronx,Bedford Park,Boro Zone,40.8700999,-73.8856912
19,Queens,Bellerose,Boro Zone,40.7327778,-73.7177778
20,Bronx,Belmont,Boro Zone,40.8593835,-73.8891737
21,Brooklyn,Bensonhurst East,Boro Zone,40.611,-73.973
22,Brooklyn,Bensonhurst West,Boro Zone,40.611,-74
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.602664,-74.122667
24,Manhattan,Bloomingdale,Yellow Zone,40.7997764,-73.9677716
25,Brooklyn,Boerum Hill,Boro Zone,40.6856261,-73.9841707
26,Brooklyn,Borough Park,Boro Zone,40.633993,-73.9968059
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.55,-73.9
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.712778,-73.799167
29,Brooklyn,Brighton Beach,Boro Zone,40.5796437,-73.9611102
30,Queens,Broad Channel,Boro Zone,40.6080187,-73.8158007
31,Bronx,Bronx Park,Boro Zone,40.8588468,-73.8759038
32,Bronx,Bronxdale,Boro Zone,40.8432531,-73.8560216
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6960849,-73.9950297
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.6997716,-73.9753359
35,Brooklyn,Brownsville,Boro Zone,40.665306,-73.9124755
36,Brooklyn,Bushwick North,Boro Zone,40.689831,-73.917831
37,Brooklyn,Bushwick South,Boro Zone,40.6942867,-73.9258836
38,Queens,Cambria Heights,Boro Zone,40.6945474,-73.7384653
39,Brooklyn,Canarsie,Boro Zone,40.643715,-73.9006921
40,Brooklyn,Carroll Gardens,Boro Zone,40.6784201,-73.9948021
41,Manhattan,Central Harlem,Boro Zone,40.8116,-73.9465
42,Manhattan,Central Harlem North,Boro Zone,40.82,-73.94
43,Manhattan,Central Park,Yellow Zone,40.7827725,-73.9653627
44,Staten Island,Charleston/Tottenville,Boro Zone,40.5167,-74.25
45,Manhattan,Chinatown,Yellow Zone,40.7163793,-73.9962641
46,Bronx,City Island,Boro Zone,40.8474333,-73.7864295
47,Bronx,Claremont/Bathgate,Boro Zone,40.8461,-73.8972
48,Manhattan,Clinton East,Yellow Zone,40.7212687,-73.9836882
49,Brooklyn,Clinton Hill,Boro Zone,40.6897222,-73.9652778
50,Manhattan,Clinton West,Yellow Zone,40.7639353,-73.9794602
51,Bronx,Co-Op City,Boro Zone,40.8647254,-73.822106
52,Brooklyn,Cobble Hill,Boro Zone,40.687547,-73.9973352
53,Queens,College Point,Boro Zone,40.7937011,-73.8530589
54,Brooklyn,Columbia Street,Boro Zone,40.6712158,-74.0087343
55,Brooklyn,Coney Island,Boro Zone,40.5756208,-73.9813318
56,Queens,Corona,Boro Zone,40.7469593,-73.8601456
57,Queens,Corona,Boro Zone,40.7469593,-73.8601456
58,Bronx,Country Club,Boro Zone,40.8391667,-73.8197222
59,Bronx,Crotona Park,Boro Zone,40.8388132,-73.8923985
60,Bronx,Crotona Park East,Boro Zone,40.8366165,-73.8927012
61,Brooklyn,Crown Heights North,Boro Zone,40.6689219,-73.9329355
62,Brooklyn,Crown Heights South,Boro Zone,40.664,-73.944
63,Brooklyn,Cypress Hills,Boro Zone,40.6770477,-73.8912474
64,Queens,Douglaston,Boro Zone,40.768358,-73.7492477
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.6944,-73.9859
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.7026,-73.9811
67,Brooklyn,Dyker Heights,Boro Zone,40.6205319,-74.0119826
68,Manhattan,East Chelsea,Yellow Zone,40.7374626,-74.0014555
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.8253218,-73.9187183
70,Queens,East Elmhurst,Boro Zone,40.7612123,-73.8651358
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.7,-73.983
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.6547,-73.925
73,Queens,East Flushing,Boro Zone,40.7575366,-73.7843045
74,Manhattan,East Harlem North,Boro Zone,40.82,-73.94
75,Manhattan,East Harlem South,Boro Zone,40.7947,-73.9425
76,Brooklyn,East New York,Boro Zone,40.6667702,-73.8823583
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.6753999,-73.8963739
